Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:56:19.154,COM3,, -0.0015, -0.0156, 1.0010, -1.2817, -0.4883, 0.1831, -3.115, -0.786, -13.129, -5.740, 23.860, -11.693, 27.30,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11444,
 13:56:20.056,COM3,, -0.0015, -0.0156, 1.0010, -1.2817, -0.4883, 0.1831, -3.115, -0.786, -13.129, -5.747, 23.860, -11.700, 27.30,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11447,
 13:56:20.056,COM3,, -0.0010, -0.0156, 1.0010, -1.2817, -0.4883, 0.1831, -3.115, -0.786, -13.129, -5.767, 23.860, -11.700, 27.30,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11447,
 13:56:20.071,COM3,, -0.0010, -0.0151, 1.0010, -1.2817, -0.4883, 0.1831, -3.115, -0.786, -13.129, -5.767, 23.853, -11.713, 27.27,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11447,
 13:56:20.072,COM3,, -0.0010, -0.0151, 1.0010, -1.2817, -0.4883, 0.1831, -3.115, -0.786, -13.129, -5.753, 23.860, -11.733, 27.27,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11447,
 13:56:20.072,COM3,, -0.0010, -0.0151, 1.0010, -1.2817, -0.4883, 0.1831, -3.115, -0.786, -13.129, -5.740, 23.860, -11.747, 27.27,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11447,
 13:56:20.072,COM3,, 0.0000, -0.0151, 1.0010, -1.2817, -0.4883, 0.1831, -3.115, -0.786, -13.129, -5.727, 23.867, -11.753, 27.27,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11450,
 13:56:20.072,COM3,, 0.0000, -0.0166, 1.0015, -1.2817, -0.4883, 0.1831, -3.109, -0.786, -13.134, -5.720, 23.887, -11.760, 27.33,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11450,
 13:56:20.072,COM3,, 0.0000, -0.0166, 1.0015, -1.2817, -0.4883, 0.1831, -3.109, -0.786, -13.134, -5.713, 23.900, -11.773, 27.33,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11450,
 13:56:20.072,COM3,, 0.0000, -0.0166, 1.0015, -1.2817, -0.4883, 0.1831, -3.109, -0.786, -13.134, -5.727, 23.920, -11.767, 27.33,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11450,
 13:56:20.072,COM3,, 0.0005, -0.0166, 1.0015, -1.2817, -0.4883, 0.1831, -3.109, -0.786, -13.134, -5.760, 23.933, -11.780, 27.33,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11450,
 13:56:20.072,COM3,, 0.0005, -0.0176, 1.0015, -1.2817, -0.4883, 0.1831, -3.109, -0.786, -13.134, -5.773, 23.940, -11.780, 27.36,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11450,
 13:56:20.072,COM3,, 0.0005, -0.0176, 1.0015, -1.2817, -0.4883, 0.1831, -3.109, -0.786, -13.134, -5.773, 23.940, -11.780, 27.36,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11450,
 13:56:20.072,COM3,, 0.0005, -0.0176, 1.0015, -1.2817, -0.4883, 0.1831, -3.109, -0.786, -13.134, -5.773, 23.933, -11.780, 27.36,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11450,
 13:56:20.073,COM3,, 0.0010, -0.0176, 1.0015, -1.2817, -0.4883, 0.1831, -3.109, -0.786, -13.134, -5.780, 23.920, -11.787, 27.36,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11453,
 13:56:20.073,COM3,, 0.0010, -0.0181, 1.0015, -1.3428, -0.4883, 0.2441, -3.109, -0.786, -13.134, -5.807, 23.900, -11.787, 27.30,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11453,
 13:56:20.073,COM3,, 0.0010, -0.0181, 1.0015, -1.3428, -0.4883, 0.2441, -3.109, -0.786, -13.134, -5.833, 23.900, -11.787, 27.30,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11453,
 13:56:20.073,COM3,, 0.0010, -0.0181, 1.0015, -1.3428, -0.4883, 0.2441, -3.109, -0.786, -13.140, -5.847, 23.907, -11.773, 27.30,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11453,
 13:56:20.073,COM3,, 0.0000, -0.0181, 1.0015, -1.3428, -0.4883, 0.2441, -3.109, -0.786, -13.140, -5.840, 23.920, -11.760, 27.30,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11456,
 13:56:20.073,COM3,, 0.0000, -0.0171, 1.0020, -1.2817, -0.4883, 0.2441, -3.109, -0.786, -13.140, -5.800, 23.933, -11.747, 27.30,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11456,
 13:56:20.073,COM3,, 0.0000, -0.0171, 1.0020, -1.2817, -0.4883, 0.2441, -3.109, -0.786, -13.140, -5.753, 23.947, -11.747, 27.30,,,,,,,,,,,, 0.99298, -0.02777, -0.00372, -0.11456,
